 ell ,  cell_SW ,  cell_ISW ,  cell_DOP , cell_POL , 
402 , 453.507 , 14.9727 , 309.527 , 75.5517 , 
403 , 458.984 , 14.7442 , 309.407 , 76.1596 , 
404 , 464.488 , 14.519 , 309.313 , 76.7606 , 
405 , 470.02 , 14.2972 , 309.247 , 77.3543 , 
406 , 475.575 , 14.0786 , 309.206 , 77.9407 , 
407 , 481.153 , 13.8633 , 309.193 , 78.5195 , 
408 , 486.75 , 13.6513 , 309.205 , 79.0907 , 
409 , 492.365 , 13.4426 , 309.244 , 79.6541 , 
410 , 497.994 , 13.2371 , 309.31 , 80.2096 , 
411 , 503.637 , 13.0349 , 309.401 , 80.7569 , 
412 , 509.29 , 12.8359 , 309.519 , 81.2959 , 
413 , 514.951 , 12.6402 , 309.662 , 81.8265 , 
414 , 520.618 , 12.4476 , 309.831 , 82.3484 , 
415 , 526.288 , 12.2582 , 310.025 , 82.8617 , 
416 , 531.958 , 12.072 , 310.245 , 83.3659 , 
417 , 537.626 , 11.8889 , 310.49 , 83.8612 , 
418 , 543.289 , 11.709 , 310.76 , 84.3471 , 
419 , 548.944 , 11.5321 , 311.055 , 84.8237 , 
420 , 554.589 , 11.3584 , 311.374 , 85.2906 , 
421 , 560.221 , 11.1876 , 311.718 , 85.7479 , 
422 , 565.837 , 11.0199 , 312.086 , 86.1952 , 
423 , 571.435 , 10.8552 , 312.478 , 86.6324 , 
424 , 577.01 , 10.6935 , 312.893 , 87.0594 , 
425 , 582.561 , 10.5347 , 313.332 , 87.476 , 
426 , 588.083 , 10.3788 , 313.794 , 87.882 , 
427 , 593.575 , 10.2257 , 314.279 , 88.2773 , 
428 , 599.033 , 10.0755 , 314.787 , 88.6616 , 
429 , 604.454 , 9.9281 , 315.316 , 89.0348 , 
430 , 609.835 , 9.78343 , 315.868 , 89.3967 , 
431 , 615.172 , 9.64148 , 316.441 , 89.7472 , 
432 , 620.461 , 9.50219 , 317.036 , 90.0861 , 
433 , 625.701 , 9.36554 , 317.652 , 90.4131 , 
434 , 630.887 , 9.23146 , 318.288 , 90.7282 , 
435 , 636.015 , 9.09993 , 318.945 , 91.0311 , 
436 , 641.083 , 8.97089 , 319.621 , 91.3217 , 
437 , 646.087 , 8.84428 , 320.317 , 91.5997 , 
438 , 651.023 , 8.72007 , 321.032 , 91.8651 , 
439 , 655.887 , 8.59819 , 321.766 , 92.1176 , 
440 , 660.676 , 8.47859 , 322.518 , 92.357 , 
441 , 665.386 , 8.36122 , 323.288 , 92.5831 , 
442 , 670.013 , 8.24603 , 324.076 , 92.7958 , 
443 , 674.553 , 8.13294 , 324.88 , 92.9949 , 
444 , 679.003 , 8.0219 , 325.701 , 93.1802 , 
445 , 683.358 , 7.91286 , 326.538 , 93.3515 , 
446 , 687.615 , 7.80573 , 327.39 , 93.5086 , 
447 , 691.769 , 7.70047 , 328.258 , 93.6514 , 
448 , 695.816 , 7.597 , 329.14 , 93.7795 , 
449 , 699.752 , 7.49526 , 330.036 , 93.8929 , 
450 , 703.573 , 7.39517 , 330.946 , 93.9914 , 
451 , 707.276 , 7.29667 , 331.868 , 94.0747 , 
452 , 710.858 , 7.19974 , 332.803 , 94.1431 , 
453 , 714.321 , 7.10439 , 333.751 , 94.1964 , 
454 , 717.664 , 7.01061 , 334.71 , 94.2349 , 
455 , 720.887 , 6.91839 , 335.68 , 94.2587 , 
456 , 723.99 , 6.82772 , 336.662 , 94.2678 , 
457 , 726.972 , 6.7386 , 337.655 , 94.2624 , 
458 , 729.834 , 6.65101 , 338.658 , 94.2425 , 
459 , 732.576 , 6.56496 , 339.67 , 94.2084 , 
460 , 735.198 , 6.48043 , 340.693 , 94.1602 , 
461 , 737.699 , 6.39741 , 341.724 , 94.0979 , 
462 , 740.08 , 6.31589 , 342.764 , 94.0217 , 
463 , 742.341 , 6.23587 , 343.812 , 93.9317 , 
464 , 744.482 , 6.15733 , 344.868 , 93.8282 , 
465 , 746.502 , 6.08027 , 345.931 , 93.7111 , 
466 , 748.403 , 6.00466 , 347.001 , 93.5808 , 
467 , 750.184 , 5.9305 , 348.078 , 93.4373 , 
468 , 751.845 , 5.85777 , 349.16 , 93.2809 , 
469 , 753.387 , 5.78646 , 350.247 , 93.1116 , 
470 , 754.809 , 5.71657 , 351.34 , 92.9296 , 
471 , 756.112 , 5.64806 , 352.437 , 92.7352 , 
472 , 757.297 , 5.58093 , 353.537 , 92.5285 , 
473 , 758.363 , 5.51516 , 354.641 , 92.3096 , 
474 , 759.311 , 5.45074 , 355.748 , 92.0789 , 
475 , 760.141 , 5.38765 , 356.856 , 91.8364 , 
476 , 760.854 , 5.32587 , 357.967 , 91.5824 , 
477 , 761.449 , 5.26538 , 359.078 , 91.317 , 
478 , 761.928 , 5.20617 , 360.19 , 91.0406 , 
479 , 762.29 , 5.14822 , 361.301 , 90.7532 , 
480 , 762.536 , 5.0915 , 362.412 , 90.4552 , 
481 , 762.667 , 5.03599 , 363.522 , 90.1467 , 
482 , 762.683 , 4.98169 , 364.629 , 89.828 , 
483 , 762.584 , 4.92855 , 365.734 , 89.4992 , 
484 , 762.372 , 4.87657 , 366.836 , 89.1607 , 
485 , 762.046 , 4.82572 , 367.934 , 88.8127 , 
486 , 761.607 , 4.77598 , 369.027 , 88.4555 , 
487 , 761.056 , 4.72732 , 370.115 , 88.0892 , 
488 , 760.394 , 4.67971 , 371.197 , 87.7142 , 
489 , 759.621 , 4.63314 , 372.273 , 87.3306 , 
490 , 758.737 , 4.58758 , 373.341 , 86.9389 , 
491 , 757.744 , 4.54299 , 374.401 , 86.5392 , 
492 , 756.643 , 4.49937 , 375.452 , 86.1318 , 
493 , 755.433 , 4.45666 , 376.494 , 85.717 , 
494 , 754.117 , 4.41486 , 377.525 , 85.2952 , 
495 , 752.694 , 4.37393 , 378.546 , 84.8665 , 
496 , 751.165 , 4.33383 , 379.555 , 84.4314 , 
497 , 749.532 , 4.29455 , 380.551 , 83.99 , 
498 , 747.795 , 4.25605 , 381.534 , 83.5428 , 
499 , 745.955 , 4.21829 , 382.503 , 83.09 , 
500 , 744.014 , 4.18125 , 383.456 , 82.632 , 
501 , 741.972 , 4.1449 , 384.394 , 82.169 , 
502 , 739.83 , 4.10923 , 385.317 , 81.7013 , 
503 , 737.592 , 4.07423 , 386.223 , 81.2291 , 
504 , 735.259 , 4.03991 , 387.112 , 80.7526 , 
505 , 732.832 , 4.00626 , 387.985 , 80.2721 , 
506 , 730.314 , 3.97328 , 388.841 , 79.7878 , 
507 , 727.707 , 3.94096 , 389.679 , 79.2998 , 
508 , 725.013 , 3.9093 , 390.501 , 78.8085 , 
509 , 722.234 , 3.87829 , 391.304 , 78.3141 , 
510 , 719.372 , 3.84794 , 392.09 , 77.8168 , 
511 , 716.43 , 3.81822 , 392.858 , 77.3168 , 
512 , 713.41 , 3.78915 , 393.607 , 76.8145 , 
513 , 710.314 , 3.76072 , 394.337 , 76.31 , 
514 , 707.144 , 3.73292 , 395.049 , 75.8036 , 
515 , 703.903 , 3.70574 , 395.742 , 75.2955 , 
516 , 700.594 , 3.67918 , 396.415 , 74.7862 , 
517 , 697.218 , 3.65324 , 397.069 , 74.2757 , 
518 , 693.779 , 3.6279 , 397.703 , 73.7643 , 
519 , 690.278 , 3.60316 , 398.316 , 73.2524 , 
520 , 686.72 , 3.57902 , 398.91 , 72.7403 , 
521 , 683.105 , 3.55547 , 399.482 , 72.2281 , 
522 , 679.437 , 3.53251 , 400.034 , 71.7162 , 
523 , 675.719 , 3.51011 , 400.565 , 71.2049 , 
524 , 671.954 , 3.48829 , 401.074 , 70.6945 , 
525 , 668.144 , 3.46702 , 401.562 , 70.1852 , 
526 , 664.292 , 3.44631 , 402.027 , 69.6774 , 
527 , 660.401 , 3.42614 , 402.471 , 69.1714 , 
528 , 656.475 , 3.40652 , 402.891 , 68.6675 , 
529 , 652.516 , 3.38742 , 403.29 , 68.1659 , 
530 , 648.527 , 3.36884 , 403.665 , 67.6671 , 
531 , 644.512 , 3.35077 , 404.017 , 67.1713 , 
532 , 640.473 , 3.3332 , 404.345 , 66.6789 , 
533 , 636.414 , 3.31613 , 404.649 , 66.1902 , 
534 , 632.338 , 3.29955 , 404.93 , 65.7055 , 
535 , 628.249 , 3.28343 , 405.186 , 65.2252 , 
536 , 624.149 , 3.26779 , 405.417 , 64.7495 , 
537 , 620.043 , 3.2526 , 405.623 , 64.279 , 
538 , 615.933 , 3.23785 , 405.805 , 63.8138 , 
539 , 611.824 , 3.22354 , 405.96 , 63.3544 , 
540 , 607.718 , 3.20966 , 406.09 , 62.9011 , 
541 , 603.62 , 3.19618 , 406.194 , 62.4543 , 
542 , 599.533 , 3.18311 , 406.271 , 62.0143 , 
543 , 595.461 , 3.17043 , 406.322 , 61.5816 , 
544 , 591.407 , 3.15814 , 406.345 , 61.1564 , 
545 , 587.376 , 3.1462 , 406.342 , 60.7392 , 
546 , 583.371 , 3.13463 , 406.31 , 60.3304 , 
547 , 579.396 , 3.12339 , 406.251 , 59.9303 , 
548 , 575.455 , 3.11249 , 406.164 , 59.5394 , 
549 , 571.552 , 3.10191 , 406.049 , 59.158 , 
550 , 567.692 , 3.09163 , 405.904 , 58.7866 , 
551 , 563.877 , 3.08165 , 405.731 , 58.4254 , 
552 , 560.11 , 3.07196 , 405.529 , 58.0747 , 
553 , 556.393 , 3.06255 , 405.298 , 57.7344 , 
554 , 552.727 , 3.05344 , 405.038 , 57.4046 , 
555 , 549.113 , 3.04461 , 404.75 , 57.0855 , 
556 , 545.554 , 3.03607 , 404.433 , 56.777 , 
557 , 542.051 , 3.02781 , 404.088 , 56.4792 , 
558 , 538.605 , 3.01984 , 403.716 , 56.1922 , 
559 , 535.218 , 3.01214 , 403.315 , 55.916 , 
560 , 531.893 , 3.00473 , 402.887 , 55.6507 , 
561 , 528.63 , 2.99759 , 402.431 , 55.3963 , 
562 , 525.431 , 2.99072 , 401.947 , 55.1529 , 
563 , 522.298 , 2.98413 , 401.437 , 54.9206 , 
564 , 519.234 , 2.97781 , 400.9 , 54.6994 , 
565 , 516.238 , 2.97175 , 400.335 , 54.4893 , 
566 , 513.314 , 2.96597 , 399.745 , 54.2905 , 
567 , 510.463 , 2.96044 , 399.127 , 54.1029 , 
568 , 507.687 , 2.95518 , 398.484 , 53.9267 , 
569 , 504.987 , 2.95018 , 397.815 , 53.7618 , 
570 , 502.366 , 2.94544 , 397.12 , 53.6083 , 
571 , 499.826 , 2.94095 , 396.399 , 53.4663 , 
572 , 497.367 , 2.93671 , 395.653 , 53.3359 , 
573 , 494.993 , 2.93272 , 394.883 , 53.217 , 
574 , 492.704 , 2.92898 , 394.087 , 53.1097 , 
575 , 490.504 , 2.92548 , 393.267 , 53.014 , 
576 , 488.393 , 2.92222 , 392.422 , 52.9301 , 
577 , 486.374 , 2.9192 , 391.553 , 52.858 , 
578 , 484.448 , 2.91641 , 390.661 , 52.7976 , 
579 , 482.618 , 2.91386 , 389.745 , 52.7491 , 
580 , 480.886 , 2.91153 , 388.806 , 52.7124 , 
581 , 479.253 , 2.90943 , 387.844 , 52.6877 , 
582 , 477.722 , 2.90755 , 386.859 , 52.675 , 
583 , 476.294 , 2.90589 , 385.852 , 52.6742 , 
584 , 474.973 , 2.90445 , 384.822 , 52.6855 , 
585 , 473.758 , 2.90321 , 383.771 , 52.7089 , 
586 , 472.654 , 2.90218 , 382.698 , 52.7445 , 
587 , 471.662 , 2.90136 , 381.604 , 52.7922 , 
588 , 470.783 , 2.90074 , 380.49 , 52.8521 , 
589 , 470.021 , 2.90031 , 379.354 , 52.9242 , 
590 , 469.377 , 2.90008 , 378.199 , 53.0086 , 
591 , 468.853 , 2.90004 , 377.023 , 53.1053 , 
592 , 468.452 , 2.90018 , 375.828 , 53.2144 , 
593 , 468.175 , 2.9005 , 374.614 , 53.3358 , 
594 , 468.026 , 2.90099 , 373.381 , 53.4697 , 
