 k  ,   T2_6 ,   T2_100 ,   T2_200 ,   T2_500 ,   T2_1000 , 
1965.4 , 1.26612e-12 , 7.63479e-12 , 1.32857e-11 , 5.19568e-12 , 2.61777e-12 , 
1965.83 , 8.83509e-12 , 1.0899e-12 , 1.8558e-11 , 2.25246e-13 , 1.25676e-13 , 
1966.26 , 2.0477e-11 , 6.06763e-13 , 1.77375e-11 , 1.93675e-12 , 5.18708e-12 , 
1966.69 , 3.04407e-11 , 5.68448e-12 , 1.13888e-11 , 9.07304e-12 , 1.52256e-11 , 
1967.11 , 3.34273e-11 , 1.21749e-11 , 3.78366e-12 , 1.69802e-11 , 2.51797e-11 , 
1967.54 , 2.78662e-11 , 1.52076e-11 , 3.02583e-14 , 2.05736e-11 , 3.00457e-11 , 
1967.97 , 1.68472e-11 , 1.25581e-11 , 2.65295e-12 , 1.75615e-11 , 2.73872e-11 , 
1968.4 , 6.11074e-12 , 6.17242e-12 , 9.90854e-12 , 9.88247e-12 , 1.85484e-11 , 
1968.82 , 4.54571e-13 , 8.25076e-13 , 1.69578e-11 , 2.46119e-12 , 7.96957e-12 , 
1969.25 , 9.3626e-13 , 8.2321e-13 , 1.91003e-11 , 7.4545e-14 , 9.51332e-13 , 
1969.68 , 4.67068e-12 , 6.98924e-12 , 1.49119e-11 , 4.31648e-12 , 9.92089e-13 , 
1970.11 , 7.25897e-12 , 1.59708e-11 , 7.18828e-12 , 1.25816e-11 , 8.03767e-12 , 
1970.53 , 6.11205e-12 , 2.23616e-11 , 1.07213e-12 , 1.97072e-11 , 1.85181e-11 , 
1970.96 , 2.35525e-12 , 2.2222e-11 , 6.2074e-13 , 2.12297e-11 , 2.71488e-11 , 
1971.39 , 2.28939e-15 , 1.56542e-11 , 6.1055e-12 , 1.61985e-11 , 2.95893e-11 , 
1971.82 , 2.97362e-12 , 6.71629e-12 , 1.38433e-11 , 7.76994e-12 , 2.462e-11 , 
1972.24 , 1.20253e-11 , 7.41014e-13 , 1.86635e-11 , 1.21001e-12 , 1.47468e-11 , 
1972.67 , 2.37405e-11 , 8.64795e-13 , 1.73577e-11 , 5.76526e-13 , 4.93337e-12 , 
1973.1 , 3.23572e-11 , 6.07649e-12 , 1.08079e-11 , 6.17185e-12 , 9.9668e-14 , 
1973.53 , 3.32794e-11 , 1.20702e-11 , 3.38226e-12 , 1.43747e-11 , 2.65058e-12 , 
1973.95 , 2.59737e-11 , 1.42899e-11 , 5.63794e-15 , 1.99467e-11 , 1.12729e-11 , 
1974.38 , 1.43337e-11 , 1.10873e-11 , 2.87444e-12 , 1.93496e-11 , 2.16046e-11 , 
1974.81 , 4.2596e-12 , 4.85222e-12 , 1.00031e-11 , 1.29735e-11 , 2.84355e-11 , 
1975.24 , 5.21554e-14 , 3.57841e-13 , 1.65698e-11 , 4.87642e-12 , 2.8329e-11 , 
1975.66 , 1.96949e-12 , 1.44338e-12 , 1.81526e-11 , 2.01529e-13 , 2.13463e-11 , 
1976.09 , 6.50818e-12 , 8.29122e-12 , 1.36895e-11 , 1.91855e-12 , 1.10079e-11 , 
1976.52 , 9.12503e-12 , 1.71497e-11 , 6.18443e-12 , 8.94596e-12 , 2.5134e-12 , 
1976.95 , 7.50043e-12 , 2.27116e-11 , 6.94558e-13 , 1.68411e-11 , 1.23355e-13 , 
1977.37 , 3.11243e-12 , 2.15676e-11 , 9.44519e-13 , 2.06137e-11 , 5.01672e-12 , 
1977.8 , 7.79572e-14 , 1.4435e-11 , 6.83393e-12 , 1.78833e-11 , 1.47051e-11 , 
1978.23 , 2.08639e-12 , 5.67064e-12 , 1.44981e-11 , 1.03778e-11 , 2.42934e-11 , 
1978.66 , 9.56532e-12 , 4.10463e-13 , 1.88796e-11 , 2.8379e-12 , 2.89488e-11 , 
1979.09 , 1.90565e-11 , 1.24444e-12 , 1.70891e-11 , 1.64285e-14 , 2.63323e-11 , 
1979.51 , 2.52837e-11 , 6.64594e-12 , 1.03198e-11 , 3.67923e-12 , 1.77702e-11 , 
1979.94 , 2.45536e-11 , 1.21749e-11 , 3.03702e-12 , 1.14965e-11 , 7.57608e-12 , 
1980.37 , 1.72198e-11 , 1.36121e-11 , 3.15479e-16 , 1.85238e-11 , 8.7201e-13 , 
1980.8 , 7.53192e-12 , 9.88331e-12 , 3.10153e-12 , 2.03268e-11 , 1.00623e-12 , 
1981.22 , 9.55905e-13 , 3.79775e-12 , 1.01315e-11 , 1.57779e-11 , 7.87239e-12 , 
1981.65 , 7.20529e-13 , 9.92319e-14 , 1.62854e-11 , 7.75375e-12 , 1.79727e-11 , 
1982.08 , 5.87268e-12 , 2.16114e-12 , 1.73937e-11 , 1.306e-12 , 2.61905e-11 , 
1982.51 , 1.21012e-11 , 9.56531e-12 , 1.27121e-11 , 4.64443e-13 , 2.83739e-11 , 
1982.93 , 1.47419e-11 , 1.822e-11 , 5.41287e-12 , 5.69832e-12 , 2.34276e-11 , 
1983.36 , 1.19231e-11 , 2.29584e-11 , 4.50158e-13 , 1.36364e-11 , 1.38567e-11 , 
1983.79 , 5.74978e-12 , 2.08968e-11 , 1.23688e-12 , 1.92162e-11 , 4.49467e-12 , 
1984.22 , 7.5764e-13 , 1.33092e-11 , 7.35223e-12 , 1.88926e-11 , 5.89008e-14 , 
1984.64 , 7.23282e-13 , 4.77865e-12 , 1.48113e-11 , 1.28792e-11 , 2.77009e-12 , 
1985.07 , 6.01457e-12 , 1.96547e-13 , 1.87114e-11 , 5.00086e-12 , 1.12369e-11 , 
1985.5 , 1.32878e-11 , 1.61908e-12 , 1.64907e-11 , 2.63264e-13 , 2.11661e-11 , 
1985.93 , 1.77354e-11 , 7.06969e-12 , 9.62029e-12 , 1.67906e-12 , 2.75351e-11 , 
1986.35 , 1.636e-11 , 1.20556e-11 , 2.61364e-12 , 8.36203e-12 , 2.71298e-11 , 
1986.78 , 1.0044e-11 , 1.2739e-11 , 1.79163e-14 , 1.60913e-11 , 2.01616e-11 , 
1987.21 , 3.00698e-12 , 8.60492e-12 , 3.39973e-12 , 1.99854e-11 , 1.01544e-11 , 
1987.64 , 1.51933e-16 , 2.81243e-12 , 1.03335e-11 , 1.75884e-11 , 2.15745e-12 , 
1988.06 , 3.1209e-12 , 4.47794e-16 , 1.60578e-11 , 1.04182e-11 , 1.92169e-13 , 
1988.49 , 1.03928e-11 , 3.03814e-12 , 1.66793e-11 , 3.0002e-12 , 5.22419e-12 , 
1988.92 , 1.70676e-11 , 1.09289e-11 , 1.17823e-11 , 2.11283e-15 , 1.46829e-11 , 
1989.35 , 1.8777e-11 , 1.9303e-11 , 4.69798e-12 , 3.28715e-12 , 2.3768e-11 , 
1989.77 , 1.44245e-11 , 2.31951e-11 , 2.60659e-13 , 1.07454e-11 , 2.78808e-11 , 
1990.2 , 6.88223e-12 , 2.02607e-11 , 1.55828e-12 , 1.76388e-11 , 2.49466e-11 , 
1990.63 , 1.03953e-12 , 1.22923e-11 , 7.85023e-12 , 1.96032e-11 , 1.64572e-11 , 
1991.06 , 5.30506e-13 , 4.03077e-12 , 1.50452e-11 , 1.54038e-11 , 6.70795e-12 , 
1991.48 , 5.33956e-12 , 7.36179e-14 , 1.84184e-11 , 7.70461e-12 , 6.19025e-13 , 
1991.91 , 1.18873e-11 , 1.94914e-12 , 1.57522e-11 , 1.37182e-12 , 1.24659e-12 , 
1992.34 , 1.55162e-11 , 7.29214e-12 , 8.80604e-12 , 3.8812e-13 , 8.24167e-12 , 
1992.77 , 1.36793e-11 , 1.16381e-11 , 2.14004e-12 , 5.3373e-12 , 1.80354e-11 , 
1993.2 , 7.67136e-12 , 1.1587e-11 , 7.95231e-14 , 1.30458e-11 , 2.56532e-11 , 
1993.62 , 1.73634e-12 , 7.17794e-12 , 3.85144e-12 , 1.86036e-11 , 2.72349e-11 , 
1994.05 , 1.60142e-13 , 1.86174e-12 , 1.07957e-11 , 1.84787e-11 , 2.19861e-11 , 
1994.48 , 4.32512e-12 , 9.54571e-14 , 1.61705e-11 , 1.2754e-11 , 1.25729e-11 , 
1994.91 , 1.17215e-11 , 4.19082e-12 , 1.63363e-11 , 5.06869e-12 , 3.76294e-12 , 
1995.33 , 1.75925e-11 , 1.25671e-11 , 1.11888e-11 , 3.10367e-13 , 6.71083e-15 , 
1995.76 , 1.8106e-11 , 2.06119e-11 , 4.21652e-12 , 1.51789e-12 , 3.1834e-12 , 
1996.19 , 1.29224e-11 , 2.36045e-11 , 1.54948e-13 , 7.95901e-12 , 1.16553e-11 , 
1996.62 , 5.42463e-12 , 1.97628e-11 , 1.80635e-12 , 1.55935e-11 , 2.11052e-11 , 
1997.04 , 4.63016e-13 , 1.13929e-11 , 8.15583e-12 , 1.96267e-11 , 2.67309e-11 , 
1997.47 , 1.12699e-12 , 3.37505e-12 , 1.50389e-11 , 1.75321e-11 , 2.56797e-11 , 
1997.9 , 6.7157e-12 , 1.04674e-14 , 1.79138e-11 , 1.06366e-11 , 1.84916e-11 , 
1998.33 , 1.32593e-11 , 2.32161e-12 , 1.4883e-11 , 3.26585e-12 , 8.8175e-12 , 
1998.75 , 1.62286e-11 , 7.59046e-12 , 7.95334e-12 , 4.33492e-15 , 1.56325e-12 , 
1999.18 , 1.35948e-11 , 1.13967e-11 , 1.69254e-12 , 2.80297e-12 , 3.9868e-13 , 
1999.61 , 7.18355e-12 , 1.07462e-11 , 1.88636e-13 , 9.76698e-12 , 5.89907e-12 , 
2000.04 , 1.41097e-12 , 6.15191e-12 , 4.3389e-12 , 1.63821e-11 , 1.52588e-11 , 
2000.46 , 2.75137e-13 , 1.26397e-12 , 1.12758e-11 , 1.83958e-11 , 2.37205e-11 , 
2000.89 , 4.63545e-12 , 3.0252e-13 , 1.63017e-11 , 1.45193e-11 , 2.69906e-11 , 
2001.32 , 1.16212e-11 , 5.04798e-12 , 1.60367e-11 , 7.24301e-12 , 2.34162e-11 , 
2001.75 , 1.65637e-11 , 1.34427e-11 , 1.06686e-11 , 1.24761e-12 , 1.48163e-11 , 
2002.17 , 1.6148e-11 , 2.07802e-11 , 3.81473e-12 , 4.25382e-13 , 5.5528e-12 , 
2002.6 , 1.06493e-11 , 2.27095e-11 , 8.74884e-14 , 5.40082e-12 , 3.10534e-13 , 
2003.03 , 3.75268e-12 , 1.80648e-11 , 2.00312e-12 , 1.31224e-11 , 1.72085e-12 , 
2003.46 , 7.47185e-14 , 9.62801e-12 , 8.29769e-12 , 1.87814e-11 , 9.0315e-12 , 
2003.88 , 2.06105e-12 , 2.32334e-12 , 1.47745e-11 , 1.88449e-11 , 1.84978e-11 , 
2004.31 , 8.34924e-12 , 4.37902e-14 , 1.71105e-11 , 1.32788e-11 , 2.52914e-11 , 
2004.74 , 1.46959e-11 , 3.22041e-12 , 1.37469e-11 , 5.56251e-12 , 2.59565e-11 , 
2005.17 , 1.68355e-11 , 8.73204e-12 , 6.92861e-12 , 4.86494e-13 , 2.01615e-11 , 
2005.59 , 1.33441e-11 , 1.21754e-11 , 1.20514e-12 , 1.13287e-12 , 1.08605e-11 , 
2006.02 , 6.57834e-12 , 1.09338e-11 , 3.94402e-13 , 6.94837e-12 , 2.78419e-12 , 
2006.45 , 1.06711e-12 , 5.9656e-12 , 5.03809e-12 , 1.41236e-11 , 3.10644e-14 , 
2006.88 , 4.48818e-13 , 1.10738e-12 , 1.20449e-11 , 1.80292e-11 , 3.98446e-12 , 
2007.3 , 5.02453e-12 , 3.79353e-13 , 1.67554e-11 , 1.61611e-11 , 1.26146e-11 , 
2007.73 , 1.15771e-11 , 5.13283e-12 , 1.60452e-11 , 9.72452e-12 , 2.15169e-11 , 
2008.16 , 1.55718e-11 , 1.29862e-11 , 1.03969e-11 , 2.85905e-12 , 2.61572e-11 , 
2008.59 , 1.42463e-11 , 1.92904e-11 , 3.56338e-12 , 6.733e-16 , 2.41772e-11 , 
