k , T_6  , T_100 , T_200 , T_500 , T_1000 , 
0.890465 , -7.53045e-07 , 1.15546e-176 , 0 , 0 , 0 , 
0.89124 , -7.56784e-07 , 1.15101e-176 , 0 , 0 , 0 , 
0.892015 , -7.60544e-07 , 1.14643e-176 , 0 , 0 , 0 , 
0.892792 , -7.64324e-07 , 1.14171e-176 , 0 , 0 , 0 , 
0.893569 , -7.68125e-07 , 1.13684e-176 , 0 , 0 , 0 , 
0.894347 , -7.71947e-07 , 1.13184e-176 , 0 , 0 , 0 , 
0.895125 , -7.75791e-07 , 1.1267e-176 , 0 , 0 , 0 , 
0.895904 , -7.79655e-07 , 1.12142e-176 , 0 , 0 , 0 , 
0.896684 , -7.83541e-07 , 1.11599e-176 , 0 , 0 , 0 , 
0.897465 , -7.87448e-07 , 1.11042e-176 , 0 , 0 , 0 , 
0.898246 , -7.91376e-07 , 1.10471e-176 , 0 , 0 , 0 , 
0.899028 , -7.95327e-07 , 1.09885e-176 , 0 , 0 , 0 , 
0.89981 , -7.99299e-07 , 1.09284e-176 , 0 , 0 , 0 , 
0.900593 , -8.03293e-07 , 1.08668e-176 , 0 , 0 , 0 , 
0.901377 , -8.0731e-07 , 1.08038e-176 , 0 , 0 , 0 , 
0.902162 , -8.11348e-07 , 1.07393e-176 , 0 , 0 , 0 , 
0.902947 , -8.15409e-07 , 1.06732e-176 , 0 , 0 , 0 , 
0.903733 , -8.19493e-07 , 1.06057e-176 , 0 , 0 , 0 , 
0.90452 , -8.23599e-07 , 1.05366e-176 , 0 , 0 , 0 , 
0.905307 , -8.27728e-07 , 1.0466e-176 , 0 , 0 , 0 , 
0.906095 , -8.31879e-07 , 1.03939e-176 , 0 , 0 , 0 , 
0.906884 , -8.36054e-07 , 1.03201e-176 , 0 , 0 , 0 , 
0.907673 , -8.40252e-07 , 1.02449e-176 , 0 , 0 , 0 , 
0.908463 , -8.44473e-07 , 1.0168e-176 , 0 , 0 , 0 , 
0.909254 , -8.48717e-07 , 1.00896e-176 , 0 , 0 , 0 , 
0.910045 , -8.52986e-07 , 1.00096e-176 , 0 , 0 , 0 , 
0.910837 , -8.57277e-07 , 9.92796e-177 , 0 , 0 , 0 , 
0.91163 , -8.61593e-07 , 9.84477e-177 , 0 , 0 , 0 , 
0.912424 , -8.65932e-07 , 9.76001e-177 , 0 , 0 , 0 , 
0.913218 , -8.70296e-07 , 9.67369e-177 , 0 , 0 , 0 , 
0.914013 , -8.74684e-07 , 9.5858e-177 , 0 , 0 , 0 , 
0.914808 , -8.79096e-07 , 9.49636e-177 , 0 , 0 , 0 , 
0.915604 , -8.83533e-07 , 9.40536e-177 , 0 , 0 , 0 , 
0.916401 , -8.87994e-07 , 9.31283e-177 , 0 , 0 , 0 , 
0.917199 , -8.9248e-07 , 9.21876e-177 , 0 , 0 , 0 , 
0.917997 , -8.96991e-07 , 9.12316e-177 , 0 , 0 , 0 , 
0.918796 , -9.01527e-07 , 9.02604e-177 , 0 , 0 , 0 , 
0.919596 , -9.06088e-07 , 8.9274e-177 , 0 , 0 , 0 , 
0.920397 , -9.10674e-07 , 8.82726e-177 , 0 , 0 , 0 , 
0.921198 , -9.15286e-07 , 8.7256e-177 , 0 , 0 , 0 , 
0.922 , -9.19924e-07 , 8.62245e-177 , 0 , 0 , 0 , 
0.922802 , -9.24587e-07 , 8.51781e-177 , 0 , 0 , 0 , 
0.923605 , -9.29276e-07 , 8.41169e-177 , 0 , 0 , 0 , 
0.924409 , -9.33991e-07 , 8.30409e-177 , 0 , 0 , 0 , 
0.925214 , -9.38732e-07 , 8.19502e-177 , 0 , 0 , 0 , 
0.926019 , -9.43499e-07 , 8.08448e-177 , 0 , 0 , 0 , 
0.926825 , -9.48293e-07 , 7.97249e-177 , 0 , 0 , 0 , 
