k , Pk , 
0.000100665 , 421.017 , 
0.000100752 , 421.37 , 
0.00010084 , 421.724 , 
0.000100928 , 422.078 , 
0.000101015 , 422.432 , 
0.000101103 , 422.787 , 
0.000101191 , 423.141 , 
0.00010128 , 423.497 , 
0.000101368 , 423.852 , 
0.000101456 , 424.208 , 
0.000101544 , 424.564 , 
0.000101633 , 424.92 , 
0.000101721 , 425.277 , 
0.00010181 , 425.634 , 
0.000101898 , 425.991 , 
0.000101987 , 426.348 , 
0.000102076 , 426.706 , 
0.000102165 , 427.064 , 
0.000102253 , 427.423 , 
0.000102342 , 427.781 , 
0.000102432 , 428.14 , 
0.000102521 , 428.5 , 
0.00010261 , 428.859 , 
0.000102699 , 429.219 , 
0.000102789 , 429.58 , 
0.000102878 , 429.94 , 
0.000102968 , 430.301 , 
0.000103057 , 430.662 , 
0.000103147 , 431.024 , 
0.000103237 , 431.385 , 
0.000103327 , 431.747 , 
0.000103417 , 432.11 , 
0.000103507 , 432.472 , 
0.000103597 , 432.835 , 
0.000103687 , 433.199 , 
0.000103777 , 433.562 , 
0.000103867 , 433.926 , 
0.000103958 , 434.29 , 
0.000104048 , 434.655 , 
0.000104139 , 435.019 , 
0.00010423 , 435.384 , 
0.00010432 , 435.75 , 
0.000104411 , 436.116 , 
0.000104502 , 436.482 , 
0.000104593 , 436.848 , 
0.000104684 , 437.215 , 
0.000104775 , 437.581 , 
0.000104866 , 437.949 , 
0.000104958 , 438.316 , 
0.000105049 , 438.684 , 
0.00010514 , 439.052 , 
0.000105232 , 439.421 , 
0.000105323 , 439.789 , 
0.000105415 , 440.159 , 
0.000105507 , 440.528 , 
0.000105599 , 440.898 , 
0.000105691 , 441.268 , 
0.000105783 , 441.638 , 
0.000105875 , 442.009 , 
0.000105967 , 442.38 , 
0.000106059 , 442.751 , 
0.000106151 , 443.122 , 
0.000106244 , 443.494 , 
0.000106336 , 443.866 , 
0.000106429 , 444.239 , 
0.000106521 , 444.612 , 
0.000106614 , 444.985 , 
0.000106707 , 445.358 , 
0.0001068 , 445.732 , 
0.000106893 , 446.106 , 
0.000106986 , 446.481 , 
0.000107079 , 446.855 , 
0.000107172 , 447.23 , 
0.000107265 , 447.606 , 
0.000107359 , 447.981 , 
0.000107452 , 448.357 , 
0.000107546 , 448.733 , 
0.000107639 , 449.11 , 
0.000107733 , 449.487 , 
0.000107827 , 449.864 , 
0.000107921 , 450.242 , 
0.000108015 , 450.619 , 
0.000108109 , 450.998 , 
0.000108203 , 451.376 , 
0.000108297 , 451.755 , 
0.000108391 , 452.134 , 
0.000108486 , 452.513 , 
0.00010858 , 452.893 , 
0.000108675 , 453.273 , 
0.000108769 , 453.654 , 
0.000108864 , 454.034 , 
0.000108959 , 454.415 , 
0.000109053 , 454.797 , 
0.000109148 , 455.178 , 
0.000109243 , 455.56 , 
0.000109338 , 455.943 , 
0.000109434 , 456.325 , 
0.000109529 , 456.708 , 
0.000109624 , 457.091 , 
0.00010972 , 457.475 , 
0.000109815 , 457.859 , 
0.000109911 , 458.243 , 
0.000110006 , 458.628 , 
0.000110102 , 459.012 , 
0.000110198 , 459.398 , 
0.000110294 , 459.783 , 
0.00011039 , 460.169 , 
0.000110486 , 460.555 , 
0.000110582 , 460.942 , 
0.000110678 , 461.328 , 
0.000110775 , 461.716 , 
0.000110871 , 462.103 , 
0.000110968 , 462.491 , 
0.000111064 , 462.879 , 
0.000111161 , 463.267 , 
0.000111258 , 463.656 , 
0.000111354 , 464.045 , 
0.000111451 , 464.435 , 
0.000111548 , 464.824 , 
0.000111645 , 465.214 , 
0.000111743 , 465.605 , 
0.00011184 , 465.995 , 
0.000111937 , 466.386 , 
0.000112035 , 466.778 , 
0.000112132 , 467.17 , 
0.00011223 , 467.562 , 
0.000112327 , 467.954 , 
0.000112425 , 468.347 , 
0.000112523 , 468.74 , 
0.000112621 , 469.133 , 
0.000112719 , 469.527 , 
0.000112817 , 469.921 , 
0.000112915 , 470.315 , 
0.000113014 , 470.71 , 
0.000113112 , 471.105 , 
0.000113211 , 471.5 , 
0.000113309 , 471.895 , 
0.000113408 , 472.291 , 
0.000113506 , 472.688 , 
0.000113605 , 473.084 , 
0.000113704 , 473.481 , 
0.000113803 , 473.879 , 
0.000113902 , 474.276 , 
0.000114001 , 474.674 , 
0.0001141 , 475.073 , 
0.0001142 , 475.471 , 
0.000114299 , 475.87 , 
0.000114399 , 476.27 , 
0.000114498 , 476.669 , 
0.000114598 , 477.069 , 
0.000114698 , 477.469 , 
0.000114797 , 477.87 , 
0.000114897 , 478.271 , 
0.000114997 , 478.672 , 
0.000115098 , 479.074 , 
0.000115198 , 479.476 , 
0.000115298 , 479.878 , 
0.000115398 , 480.281 , 
0.000115499 , 480.684 , 
0.000115599 , 481.087 , 
0.0001157 , 481.491 , 
0.000115801 , 481.895 , 
0.000115901 , 482.299 , 
0.000116002 , 482.704 , 
0.000116103 , 483.109 , 
0.000116204 , 483.514 , 
0.000116305 , 483.92 , 
0.000116407 , 484.326 , 
0.000116508 , 484.733 , 
0.000116609 , 485.139 , 
0.000116711 , 485.546 , 
0.000116813 , 485.954 , 
0.000116914 , 486.362 , 
0.000117016 , 486.77 , 
0.000117118 , 487.178 , 
0.00011722 , 487.587 , 
0.000117322 , 487.996 , 
0.000117424 , 488.405 , 
0.000117526 , 488.815 , 
0.000117628 , 489.225 , 
