z , j_6 , j_100 , j_200 , j_500 , j_1000 , 
406.481 , 0.002348 , -0.00226838 , -0.00262775 , 3.65333e-93 , 0 , 
406.681 , 0.00244598 , -0.00242675 , -0.00262622 , 1.42129e-93 , 0 , 
406.881 , 0.00244637 , -0.0024941 , -0.00254537 , -3.38578e-92 , 0 , 
407.081 , 0.00234926 , -0.00246801 , -0.00238771 , 1.44522e-91 , 0 , 
407.281 , 0.00215864 , -0.00234955 , -0.00215807 , -3.97383e-91 , 0 , 
407.481 , 0.00188219 , -0.00214324 , -0.00186343 , 6.18692e-91 , 0 , 
407.682 , 0.00153098 , -0.00185687 , -0.00151272 , 4.95429e-91 , 0 , 
407.882 , 0.0011191 , -0.00150123 , -0.0011166 , -6.84556e-90 , 0 , 
408.082 , 0.000663022 , -0.00108973 , -0.000687091 , 2.76802e-89 , 0 , 
408.282 , 0.000180978 , -0.000637817 , -0.000237211 , -7.29329e-89 , 0 , 
408.482 , -0.000307812 , -0.000162458 , 0.000219411 , 1.02785e-88 , 0 , 
408.682 , -0.000783861 , 0.000318526 , 0.000668943 , 1.35467e-88 , 0 , 
408.882 , -0.00122819 , 0.000787103 , 0.00109777 , -1.37296e-87 , 0 , 
409.082 , -0.00162314 , 0.00122573 , 0.0014929 , 5.28015e-87 , 0 , 
409.282 , -0.00195303 , 0.00161801 , 0.0018424 , -1.33121e-86 , 0 , 
409.482 , -0.00220477 , 0.0019493 , 0.00213571 , 1.66573e-86 , 0 , 
409.682 , -0.00236838 , 0.00220721 , 0.00236394 , 3.32992e-86 , 0 , 
409.882 , -0.00243743 , 0.00238215 , 0.00252022 , -2.73418e-85 , 0 , 
410.082 , -0.00240928 , 0.00246766 , 0.00259986 , 1.00319e-84 , 0 , 
410.282 , -0.00228516 , 0.00246061 , 0.00260051 , -2.41529e-84 , 0 , 
410.482 , -0.00207009 , 0.00236136 , 0.00252219 , 2.61006e-84 , 0 , 
410.682 , -0.00177271 , 0.00217368 , 0.00236732 , 7.70553e-84 , 0 , 
410.882 , -0.00140497 , 0.0019047 , 0.00214066 , -5.41064e-83 , 0 , 
411.082 , -0.000981599 , 0.00156459 , 0.00184917 , 1.89838e-82 , 0 , 
411.282 , -0.000519529 , 0.00116617 , 0.00150174 , -4.35348e-82 , 0 , 
411.482 , -3.71972e-05 , 0.000724407 , 0.00110897 , 3.89451e-82 , 0 , 
411.682 , 0.000446152 , 0.000255908 , 0.000682844 , 1.71464e-81 , 0 , 
411.882 , 0.000911243 , -0.000221726 , 0.000236351 , -1.06458e-80 , 0 , 
412.082 , 0.00133956 , -0.000690578 , -0.000216899 , 3.57791e-80 , 0 , 
412.282 , 0.00171409 , -0.00113308 , -0.000663105 , -7.78977e-80 , 0 , 
412.482 , 0.00201996 , -0.00153267 , -0.00108868 , 5.37134e-80 , 0 , 
412.683 , 0.002245 , -0.00187439 , -0.00148068 , 3.71162e-79 , 0 , 
412.883 , 0.00238035 , -0.00214545 , -0.00182715 , -2.08361e-78 , 0 , 
413.083 , 0.00242071 , -0.00233579 , -0.00211759 , 6.71565e-78 , 0 , 
413.283 , 0.00236457 , -0.00243834 , -0.00234318 , -1.38239e-77 , 0 , 
413.483 , 0.00221425 , -0.00244932 , -0.00249707 , 6.37109e-78 , 0 , 
413.683 , 0.00197581 , -0.00236838 , -0.00257461 , 7.87063e-77 , 0 , 
413.883 , 0.00165885 , -0.00219866 , -0.00257348 , -4.05813e-76 , 0 , 
414.083 , 0.00127611 , -0.00194662 , -0.00249378 , 1.25519e-75 , 0 , 
414.283 , 0.000842874 , -0.00162179 , -0.00233801 , -2.43017e-75 , 0 , 
414.483 , 0.000376461 , -0.00123641 , -0.00211096 , 4.91678e-76 , 0 , 
414.683 , -0.000104509 , -0.000804998 , -0.00181961 , 1.64239e-74 , 0 , 
414.883 , -0.000580842 , -0.000343791 , -0.00147292 , -7.86738e-74 , 0 , 
415.083 , -0.00103357 , 0.00012987 , -0.00108153 , 2.33577e-73 , 0 , 
415.283 , -0.00144467 , 0.000598203 , -0.000657436 , -4.22545e-73 , 0 , 
415.483 , -0.00179781 , 0.00104364 , -0.000213637 , -4.00742e-74 , 0 , 
415.683 , -0.00207895 , 0.00144946 , 0.000236274 , 3.38311e-72 , 0 , 
415.883 , -0.00227695 , 0.00180046 , 0.000678514 , -1.51854e-71 , 0 , 
416.083 , -0.00238403 , 0.00208355 , 0.00109955 , 4.32669e-71 , 0 , 
416.283 , -0.00239601 , 0.00228815 , 0.00148651 , -7.25179e-71 , 0 , 
