  x  ,    Xe  ,   ne   , 
-45.9542 , 1.25242e-25 , 2.35484e+34 , 
-45.9537 , 1.25242e-25 , 2.35123e+34 , 
-45.9532 , 1.25242e-25 , 2.34763e+34 , 
-45.9527 , 1.25242e-25 , 2.34404e+34 , 
-45.9522 , 1.25242e-25 , 2.34045e+34 , 
-45.9516 , 1.25242e-25 , 2.33687e+34 , 
-45.9511 , 1.25242e-25 , 2.3333e+34 , 
-45.9506 , 1.25242e-25 , 2.32972e+34 , 
-45.9501 , 1.25242e-25 , 2.32616e+34 , 
-45.9496 , 1.25242e-25 , 2.3226e+34 , 
-45.9491 , 1.25242e-25 , 2.31904e+34 , 
-45.9486 , 1.25242e-25 , 2.3155e+34 , 
-45.9481 , 1.25242e-25 , 2.31195e+34 , 
-45.9476 , 1.25242e-25 , 2.30841e+34 , 
-45.947 , 1.25242e-25 , 2.30488e+34 , 
-45.9465 , 1.25242e-25 , 2.30135e+34 , 
-45.946 , 1.25242e-25 , 2.29783e+34 , 
-45.9455 , 1.25242e-25 , 2.29432e+34 , 
-45.945 , 1.25242e-25 , 2.2908e+34 , 
-45.9445 , 1.25242e-25 , 2.2873e+34 , 
-45.944 , 1.25242e-25 , 2.2838e+34 , 
-45.9435 , 1.25242e-25 , 2.2803e+34 , 
-45.943 , 1.25242e-25 , 2.27681e+34 , 
-45.9425 , 1.25242e-25 , 2.27333e+34 , 
-45.9419 , 1.25242e-25 , 2.26985e+34 , 
-45.9414 , 1.25242e-25 , 2.26638e+34 , 
-45.9409 , 1.25242e-25 , 2.26291e+34 , 
-45.9404 , 1.25242e-25 , 2.25944e+34 , 
-45.9399 , 1.25242e-25 , 2.25599e+34 , 
-45.9394 , 1.25242e-25 , 2.25253e+34 , 
-45.9389 , 1.25242e-25 , 2.24909e+34 , 
-45.9384 , 1.25242e-25 , 2.24564e+34 , 
-45.9379 , 1.25242e-25 , 2.24221e+34 , 
-45.9373 , 1.25242e-25 , 2.23878e+34 , 
-45.9368 , 1.25242e-25 , 2.23535e+34 , 
-45.9363 , 1.25242e-25 , 2.23193e+34 , 
-45.9358 , 1.25242e-25 , 2.22851e+34 , 
-45.9353 , 1.25242e-25 , 2.2251e+34 , 
-45.9348 , 1.25242e-25 , 2.2217e+34 , 
-45.9343 , 1.25242e-25 , 2.2183e+34 , 
-45.9338 , 1.25242e-25 , 2.2149e+34 , 
-45.9333 , 1.25242e-25 , 2.21151e+34 , 
-45.9328 , 1.25242e-25 , 2.20813e+34 , 
-45.9322 , 1.25242e-25 , 2.20475e+34 , 
-45.9317 , 1.25242e-25 , 2.20137e+34 , 
-45.9312 , 1.25242e-25 , 2.19801e+34 , 
-45.9307 , 1.25242e-25 , 2.19464e+34 , 
-45.9302 , 1.25242e-25 , 2.19128e+34 , 
-45.9297 , 1.25242e-25 , 2.18793e+34 , 
-45.9292 , 1.25242e-25 , 2.18458e+34 , 
-45.9287 , 1.25242e-25 , 2.18124e+34 , 
-45.9282 , 1.25242e-25 , 2.1779e+34 , 
-45.9276 , 1.25242e-25 , 2.17457e+34 , 
-45.9271 , 1.25242e-25 , 2.17124e+34 , 
-45.9266 , 1.25242e-25 , 2.16792e+34 , 
-45.9261 , 1.25242e-25 , 2.1646e+34 , 
-45.9256 , 1.25242e-25 , 2.16129e+34 , 
-45.9251 , 1.25242e-25 , 2.15798e+34 , 
-45.9246 , 1.25242e-25 , 2.15468e+34 , 
-45.9241 , 1.25242e-25 , 2.15138e+34 , 
-45.9236 , 1.25242e-25 , 2.14809e+34 , 
-45.9231 , 1.25242e-25 , 2.1448e+34 , 
-45.9225 , 1.25242e-25 , 2.14152e+34 , 
-45.922 , 1.25242e-25 , 2.13824e+34 , 
-45.9215 , 1.25242e-25 , 2.13497e+34 , 
-45.921 , 1.25242e-25 , 2.1317e+34 , 
-45.9205 , 1.25242e-25 , 2.12844e+34 , 
-45.92 , 1.25242e-25 , 2.12518e+34 , 
-45.9195 , 1.25242e-25 , 2.12193e+34 , 
-45.919 , 1.25242e-25 , 2.11868e+34 , 
-45.9185 , 1.25242e-25 , 2.11544e+34 , 
-45.9179 , 1.25242e-25 , 2.1122e+34 , 
-45.9174 , 1.25242e-25 , 2.10897e+34 , 
-45.9169 , 1.25242e-25 , 2.10574e+34 , 
-45.9164 , 1.25242e-25 , 2.10252e+34 , 
-45.9159 , 1.25242e-25 , 2.0993e+34 , 
-45.9154 , 1.25242e-25 , 2.09609e+34 , 
-45.9149 , 1.25242e-25 , 2.09288e+34 , 
-45.9144 , 1.25242e-25 , 2.08968e+34 , 
-45.9139 , 1.25242e-25 , 2.08648e+34 , 
-45.9134 , 1.25242e-25 , 2.08328e+34 , 
-45.9128 , 1.25242e-25 , 2.0801e+34 , 
-45.9123 , 1.25242e-25 , 2.07691e+34 , 
-45.9118 , 1.25242e-25 , 2.07373e+34 , 
-45.9113 , 1.25242e-25 , 2.07056e+34 , 
-45.9108 , 1.25242e-25 , 2.06739e+34 , 
-45.9103 , 1.25242e-25 , 2.06423e+34 , 
-45.9098 , 1.25242e-25 , 2.06107e+34 , 
-45.9093 , 1.25242e-25 , 2.05791e+34 , 
-45.9088 , 1.25242e-25 , 2.05477e+34 , 
-45.9082 , 1.25242e-25 , 2.05162e+34 , 
-45.9077 , 1.25242e-25 , 2.04848e+34 , 
-45.9072 , 1.25242e-25 , 2.04535e+34 , 
