 ell ,  cell_TT , 
466 , 2583.41 , 
467 , 2589.51 , 
468 , 2595.35 , 
469 , 2600.93 , 
470 , 2606.26 , 
471 , 2611.33 , 
472 , 2616.14 , 
473 , 2620.7 , 
474 , 2625 , 
475 , 2629.05 , 
476 , 2632.84 , 
477 , 2636.38 , 
478 , 2639.66 , 
479 , 2642.68 , 
480 , 2645.45 , 
481 , 2647.96 , 
482 , 2650.22 , 
483 , 2652.22 , 
484 , 2653.97 , 
485 , 2655.46 , 
486 , 2656.7 , 
487 , 2657.69 , 
488 , 2658.42 , 
489 , 2658.9 , 
490 , 2659.13 , 
491 , 2659.11 , 
492 , 2658.84 , 
493 , 2658.32 , 
494 , 2657.55 , 
495 , 2656.54 , 
496 , 2655.27 , 
497 , 2653.76 , 
498 , 2652.01 , 
499 , 2650.01 , 
500 , 2647.76 , 
501 , 2645.28 , 
502 , 2642.56 , 
503 , 2639.6 , 
504 , 2636.42 , 
505 , 2633.01 , 
506 , 2629.38 , 
507 , 2625.54 , 
508 , 2621.49 , 
509 , 2617.24 , 
510 , 2612.78 , 
511 , 2608.14 , 
512 , 2603.3 , 
513 , 2598.29 , 
514 , 2593.09 , 
515 , 2587.73 , 
516 , 2582.2 , 
517 , 2576.51 , 
518 , 2570.67 , 
519 , 2564.68 , 
520 , 2558.55 , 
521 , 2552.28 , 
522 , 2545.89 , 
523 , 2539.37 , 
524 , 2532.74 , 
525 , 2526.01 , 
526 , 2519.17 , 
527 , 2512.24 , 
528 , 2505.22 , 
529 , 2498.12 , 
530 , 2490.95 , 
531 , 2483.72 , 
532 , 2476.43 , 
533 , 2469.09 , 
534 , 2461.71 , 
535 , 2454.29 , 
536 , 2446.85 , 
537 , 2439.39 , 
538 , 2431.93 , 
539 , 2424.46 , 
540 , 2417 , 
541 , 2409.56 , 
542 , 2402.14 , 
543 , 2394.76 , 
544 , 2387.42 , 
545 , 2380.13 , 
546 , 2372.9 , 
547 , 2365.75 , 
548 , 2358.68 , 
549 , 2351.69 , 
550 , 2344.81 , 
551 , 2338.04 , 
552 , 2331.37 , 
553 , 2324.83 , 
554 , 2318.4 , 
555 , 2312.1 , 
556 , 2305.92 , 
557 , 2299.87 , 
558 , 2293.95 , 
559 , 2288.16 , 
560 , 2282.52 , 
561 , 2277.02 , 
562 , 2271.66 , 
563 , 2266.45 , 
564 , 2261.39 , 
565 , 2256.49 , 
566 , 2251.75 , 
567 , 2247.17 , 
568 , 2242.76 , 
569 , 2238.51 , 
570 , 2234.44 , 
571 , 2230.54 , 
572 , 2226.83 , 
573 , 2223.3 , 
574 , 2219.95 , 
575 , 2216.8 , 
576 , 2213.84 , 
577 , 2211.08 , 
578 , 2208.53 , 
579 , 2206.17 , 
580 , 2204.03 , 
581 , 2202.11 , 
582 , 2200.4 , 
583 , 2198.91 , 
584 , 2197.65 , 
585 , 2196.61 , 
586 , 2195.82 , 
587 , 2195.25 , 
588 , 2194.93 , 
589 , 2194.86 , 
590 , 2195.03 , 
591 , 2195.46 , 
592 , 2196.15 , 
593 , 2197.1 , 
594 , 2198.31 , 
595 , 2199.8 , 
596 , 2201.56 , 
597 , 2203.6 , 
598 , 2205.93 , 
599 , 2208.54 , 
600 , 2211.44 , 
601 , 2214.64 , 
602 , 2218.13 , 
603 , 2221.92 , 
604 , 2225.99 , 
605 , 2230.35 , 
606 , 2234.98 , 
607 , 2239.9 , 
608 , 2245.1 , 
609 , 2250.56 , 
610 , 2256.3 , 
611 , 2262.3 , 
612 , 2268.56 , 
613 , 2275.08 , 
614 , 2281.86 , 
615 , 2288.89 , 
616 , 2296.16 , 
617 , 2303.68 , 
618 , 2311.44 , 
619 , 2319.44 , 
620 , 2327.67 , 
621 , 2336.12 , 
622 , 2344.8 , 
623 , 2353.7 , 
624 , 2362.81 , 
625 , 2372.13 , 
626 , 2381.66 , 
627 , 2391.39 , 
628 , 2401.32 , 
629 , 2411.44 , 
630 , 2421.75 , 
631 , 2432.24 , 
632 , 2442.9 , 
633 , 2453.74 , 
634 , 2464.75 , 
635 , 2475.92 , 
636 , 2487.25 , 
637 , 2498.73 , 
638 , 2510.35 , 
639 , 2522.12 , 
640 , 2534.02 , 
641 , 2546.05 , 
642 , 2558.2 , 
643 , 2570.47 , 
644 , 2582.85 , 
645 , 2595.34 , 
646 , 2607.93 , 
647 , 2620.62 , 
648 , 2633.39 , 
649 , 2646.24 , 
650 , 2659.17 , 
651 , 2672.17 , 
652 , 2685.23 , 
653 , 2698.35 , 
654 , 2711.52 , 
655 , 2724.73 , 
656 , 2737.99 , 
657 , 2751.29 , 
658 , 2764.61 , 
659 , 2777.96 , 
660 , 2791.33 , 
661 , 2804.71 , 
662 , 2818.09 , 
663 , 2831.47 , 
664 , 2844.85 , 
665 , 2858.22 , 
666 , 2871.57 , 
667 , 2884.89 , 
668 , 2898.18 , 
669 , 2911.43 , 
670 , 2924.64 , 
671 , 2937.8 , 
672 , 2950.9 , 
673 , 2963.93 , 
674 , 2976.89 , 
675 , 2989.78 , 
676 , 3002.57 , 
677 , 3015.28 , 
678 , 3027.88 , 
679 , 3040.38 , 
680 , 3052.76 , 
681 , 3065.02 , 
682 , 3077.15 , 
683 , 3089.14 , 
684 , 3100.99 , 
685 , 3112.69 , 
686 , 3124.22 , 
687 , 3135.59 , 
688 , 3146.78 , 
689 , 3157.78 , 
690 , 3168.59 , 
691 , 3179.21 , 
692 , 3189.61 , 
693 , 3199.8 , 
694 , 3209.75 , 
695 , 3219.48 , 
696 , 3228.96 , 
